code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines
1878615,TRUE,JOENTVEDT Jon,JOENTVEDT J,Jon JOENTVEDT,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Swimming']
1878616,TRUE,CHRISTIANSEN Henrik,CHRISTIANSEN H,Henrik CHRISTIANSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,"['Marathon Swimming', 'Swimming']"
1878619,TRUE,RUUD Casper,RUUD C,Casper RUUD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,183,0,['Tennis']
1878621,TRUE,MILLER Lotte,MILLER L,Lotte MILLER,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Triathlon']
1878622,TRUE,LOVSETH Solveig,LOVSETH S,Solveig LOVSETH,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Triathlon']
1878623,TRUE,THORN Vetle Bergsvik,THORN VB,Vetle Bergsvik THORN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Triathlon']
1878624,TRUE,BLUMMENFELT Kristian,BLUMMENFELT K,Kristian BLUMMENFELT,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Triathlon']
1878625,TRUE,KOANDA Solfrid Eila Amena,KOANDA SEA,Solfrid Eila Amena KOANDA,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Weightlifting']
1878635,TRUE,BULLEN Grace Jacob,BULLEN GJ,Grace Jacob BULLEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Wrestling']
1878687,TRUE,SEIITBEK UULU Munarbek,SEIITBEK UULU M,Munarbek SEIITBEK UULU,Male,Athlete,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,KGZ,175,0,['Boxing']
1878688,TRUE,RIAZ Faiqa,RIAZ F,Faiqa RIAZ,Female,Athlete,PAK,Pakistan,Pakistan,Pakistan,Pakistan,PAK,163,0,['Athletics']
1878715,TRUE,DOSTAL Josef,DOSTAL J,Josef DOSTAL,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878716,TRUE,FUKSA Martin,FUKSA M,Martin FUKSA,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878717,TRUE,FUKSA Petr,FUKSA P,Petr FUKSA,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878719,TRUE,HAVEL Daniel,HAVEL D,Daniel HAVEL,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878730,TRUE,PALOUDOVA Anezka,PALOUDOVA A,Anezka PALOUDOVA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878737,TRUE,SPICAR Jakub,SPICAR J,Jakub SPICAR,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Canoe Sprint']
1878753,TRUE,KAPIRANTE David Sanayek,KAPIRANTE DS,David Sanayek KAPIRANTE,Male,Athlete,KEN,Kenya,Kenya,Kenya,Kenya,KEN,176,0,['Athletics']
1878917,TRUE,BURSKA Zofia,BURSKA Z,Zofia BURSKA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Sailing']
1878927,TRUE,SVIKOVA Katerina,SVIKOVA K,Katerina SVIKOVA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Sailing']
1878929,TRUE,TKADLECOVA Sara,TKADLECOVA S,Sara TKADLECOVA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Sailing']
1878961,TRUE,BACHER Florian,BACHER F,Florian BACHER,Male,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878962,TRUE,LEHFELLNER Stefan,LEHFELLNER S,Stefan LEHFELLNER,Male,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878963,TRUE,MAX-THEURER Victoria,MAX-THEURER V,Victoria MAX-THEURER,Female,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878965,TRUE,SCHUMACH Christian,SCHUMACH C,Christian SCHUMACH,Male,Alternate Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878970,TRUE,KUEHNER Max,KUEHNER M,Max KUEHNER,Male,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878971,TRUE,OBERNAUER Christoph,OBERNAUER C,Christoph OBERNAUER,Male,Alternate Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878973,TRUE,PUCK Gerfried,PUCK G,Gerfried PUCK,Male,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878975,TRUE,RHOMBERG Katharina,RHOMBERG K,Katharina RHOMBERG,Female,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878976,TRUE,AMBROS Harald,AMBROS H,Harald AMBROS,Male,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1878979,TRUE,SIEGL Lea,SIEGL L,Lea SIEGL,Female,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0,['Equestrian']
1879047,TRUE,LUDWIG Cecilie Uttru,LUDWIG CU,Cecilie Uttrup LUDWIG,Female,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Road']
1879048,TRUE,HANSEN Tobias Aagaard,HANSEN TA,Tobias Aagaard HANSEN,Male,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Track']
1879050,TRUE,LETH Lasse Norman,LETH LN,Lasse Norman LETH,Male,Alternate Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Track']
1879051,TRUE,LETH Julie Norman,LETH JN,Julie Norman LETH,Female,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Track']
1879056,TRUE,BJERG Emma Norsgaard,BJERG EN,Emma Norsgaard BJERG,Female,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Road']
1879057,TRUE,DIDERIKSEN Amalie,DIDERIKSEN A,Amalie DIDERIKSEN,Female,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0,['Cycling Track']
1879110,TRUE,BENNAMA Billal,BENNAMA B,Billal BENNAMA,Male,Athlete,FRA,France,France,France,France,FRA,178,0,['Boxing']
